epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,958.031,1.0859,0.81326,1.31885,0.8309,0.85681,0.90595,0.60254,1.18223,0.78061,1.35477,0.0017294,0.0017294,0.0017294
43,978.686,1.05231,0.79955,1.29936,0.82632,0.90747,0.90644,0.65325,1.04635,0.71712,1.29874,0.0017228,0.0017228,0.0017228
44,1002.12,1.03974,0.77468,1.28559,0.86423,0.86081,0.9061,0.63731,1.09626,0.73944,1.30743,0.0017162,0.0017162,0.0017162
45,1025.56,1.02168,0.78529,1.28004,0.84357,0.88281,0.91816,0.63395,1.12232,0.73743,1.32105,0.0017096,0.0017096,0.0017096
46,1048.93,1.04281,0.78835,1.29382,0.90809,0.87905,0.93208,0.64717,1.06719,0.67612,1.32296,0.001703,0.001703,0.001703
47,1072.34,1.0253,0.79299,1.27907,0.88505,0.86477,0.92592,0.65027,1.07268,0.71593,1.27524,0.0016964,0.0016964,0.0016964
48,1095.76,1.04177,0.77545,1.30208,0.86931,0.8363,0.88533,0.59157,1.19122,0.74307,1.39228,0.0016898,0.0016898,0.0016898
49,1119.16,1.04312,0.78126,1.28919,0.89108,0.87341,0.91603,0.62469,1.14722,0.73965,1.33889,0.0016832,0.0016832,0.0016832
50,1142.48,1.03881,0.77237,1.2721,0.91601,0.85387,0.91686,0.63481,1.09531,0.70381,1.35318,0.0016766,0.0016766,0.0016766
51,1165.71,1.03833,0.78254,1.29702,0.87045,0.88472,0.91239,0.62648,1.15628,0.69976,1.37207,0.00167,0.00167,0.00167
52,1187.23,1.00559,0.75926,1.27496,0.89876,0.86477,0.93105,0.6523,1.05147,0.67474,1.30642,0.0016634,0.0016634,0.0016634
53,1208.58,1.01795,0.76385,1.2856,0.83374,0.91103,0.91476,0.65067,1.06193,0.70167,1.3183,0.0016568,0.0016568,0.0016568
