epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0818,1.19711,1.94113,1.43769,0.48372,0.56929,0.51176,0.23029,1.47666,2.67073,1.8602,0.000661017,0.000661017,0.000661017
2,42.9609,1.26964,1.56818,1.46052,0.41183,0.51662,0.38509,0.16874,1.58564,2.56968,1.86982,0.0010648,0.0010648,0.0010648
3,64.8545,1.2401,1.35533,1.43052,0.62874,0.64794,0.59763,0.32965,1.50866,2.07688,1.71354,0.00120459,0.00120459,0.00120459
4,86.5351,1.14619,1.18785,1.36299,0.77728,0.69274,0.74931,0.41129,1.25623,1.38278,1.51201,0.000812,0.000812,0.000812
5,108.141,1.05472,1.04846,1.30911,0.83205,0.79026,0.85585,0.55942,1.08355,0.97171,1.33059,0.000416,0.000416,0.000416
