epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,897.83,0.92671,0.77015,1.2134,0.87905,0.84644,0.91787,0.62571,0.98013,0.74025,1.30515,0.0017294,0.0017294,0.0017294
43,919.799,0.8981,0.76033,1.20658,0.86583,0.89139,0.91301,0.62912,0.94794,0.68028,1.21603,0.0017228,0.0017228,0.0017228
44,937.324,0.9029,0.75262,1.21202,0.85703,0.85313,0.8846,0.60891,0.9418,0.70358,1.28022,0.0017162,0.0017162,0.0017162
45,956.277,0.88326,0.74888,1.20159,0.8496,0.8251,0.88364,0.61639,0.92846,0.79066,1.24555,0.0017096,0.0017096,0.0017096
46,978.267,0.8949,0.76391,1.20214,0.87361,0.87266,0.91676,0.64451,0.91168,0.66908,1.2631,0.001703,0.001703,0.001703
47,998.608,0.88247,0.7587,1.20244,0.86484,0.86271,0.91884,0.64663,0.91241,0.64495,1.22642,0.0016964,0.0016964,0.0016964
48,1020.53,0.88069,0.75229,1.19541,0.86023,0.85291,0.8966,0.63061,0.8977,0.68832,1.21811,0.0016898,0.0016898,0.0016898
49,1042.45,0.86248,0.73446,1.1797,0.88668,0.90848,0.91761,0.64417,0.87227,0.64651,1.22468,0.0016832,0.0016832,0.0016832
50,1064.52,0.87987,0.7236,1.18271,0.90192,0.90262,0.92403,0.61926,0.95353,0.65153,1.28104,0.0016766,0.0016766,0.0016766
51,1084.92,0.88632,0.73923,1.20525,0.90622,0.88764,0.93125,0.65385,0.90925,0.60983,1.25306,0.00167,0.00167,0.00167
52,1106.86,0.86879,0.72556,1.19184,0.83161,0.89888,0.90038,0.63185,0.94129,0.67463,1.27134,0.0016634,0.0016634,0.0016634
53,1128.81,0.87911,0.73503,1.20177,0.8678,0.88506,0.89561,0.63789,0.91219,0.71764,1.2481,0.0016568,0.0016568,0.0016568
54,1150.71,0.87585,0.74438,1.1991,0.865,0.8639,0.90691,0.6437,0.89617,0.73326,1.22885,0.0016502,0.0016502,0.0016502
55,1172.57,0.85985,0.70913,1.18718,0.8759,0.87237,0.90008,0.62979,0.90797,0.6747,1.26232,0.0016436,0.0016436,0.0016436
56,1194.52,0.85476,0.70955,1.1777,0.88302,0.87642,0.91086,0.65389,0.88874,0.67699,1.21691,0.001637,0.001637,0.001637
57,1216.44,0.85491,0.70404,1.17248,0.86485,0.86278,0.88214,0.60316,0.94456,0.69918,1.25665,0.0016304,0.0016304,0.0016304
58,1236.34,0.84937,0.71802,1.17861,0.87183,0.84072,0.90884,0.63105,0.9517,0.6851,1.24962,0.0016238,0.0016238,0.0016238
59,1258.25,0.84859,0.71443,1.18004,0.85637,0.81648,0.8634,0.58072,1.00922,0.76862,1.3124,0.0016172,0.0016172,0.0016172
60,1280.19,0.85958,0.70342,1.17426,0.85031,0.8839,0.89276,0.61522,0.94302,0.69446,1.28578,0.0016106,0.0016106,0.0016106
61,1302.13,0.83929,0.70225,1.17343,0.90024,0.85019,0.90292,0.61706,0.90455,0.66291,1.24876,0.001604,0.001604,0.001604
62,1324.12,0.85419,0.70302,1.17174,0.85319,0.8839,0.91608,0.65817,0.85446,0.62613,1.23105,0.0015974,0.0015974,0.0015974
63,1346.09,0.85024,0.70352,1.1805,0.85735,0.90637,0.93346,0.64125,0.99876,0.68693,1.32429,0.0015908,0.0015908,0.0015908
64,1366.49,0.83394,0.69752,1.1746,0.85841,0.88554,0.91798,0.65326,0.89668,0.6761,1.20131,0.0015842,0.0015842,0.0015842
65,1388.34,0.84941,0.68332,1.17354,0.88624,0.87529,0.92525,0.66122,0.86774,0.60296,1.22934,0.0015776,0.0015776,0.0015776
66,1408.63,0.83651,0.70125,1.16744,0.82188,0.86517,0.88383,0.62104,0.88377,0.70818,1.21203,0.001571,0.001571,0.001571
67,1430.52,0.81717,0.68245,1.14393,0.85594,0.8901,0.90658,0.63647,0.90956,0.67197,1.28677,0.0015644,0.0015644,0.0015644
68,1452.34,0.8452,0.68817,1.17606,0.85276,0.91101,0.92129,0.65586,0.85923,0.62968,1.22132,0.0015578,0.0015578,0.0015578
69,1474.31,0.8369,0.68922,1.17178,0.90133,0.86142,0.91173,0.63558,0.91522,0.66461,1.24179,0.0015512,0.0015512,0.0015512
70,1496.19,0.80893,0.65607,1.15366,0.87519,0.84043,0.90359,0.61555,0.90155,0.66504,1.26624,0.0015446,0.0015446,0.0015446
71,1518.09,0.81666,0.67189,1.1611,0.90381,0.8798,0.916,0.65753,0.92111,0.63236,1.23752,0.001538,0.001538,0.001538
72,1538.48,0.84039,0.68641,1.17172,0.89686,0.87932,0.93486,0.66177,0.86681,0.62103,1.22514,0.0015314,0.0015314,0.0015314
73,1560.38,0.79636,0.66122,1.14864,0.86541,0.89107,0.91638,0.65757,0.85109,0.60906,1.19848,0.0015248,0.0015248,0.0015248
74,1582.41,0.83836,0.67473,1.17074,0.90673,0.83744,0.91172,0.65162,0.89338,0.61182,1.26945,0.0015182,0.0015182,0.0015182
75,1602.85,0.79415,0.6534,1.15028,0.84277,0.84644,0.88261,0.62898,0.91261,0.68467,1.28628,0.0015116,0.0015116,0.0015116
76,1623.42,0.81317,0.65551,1.1464,0.87743,0.8839,0.91261,0.66354,0.85303,0.62015,1.21956,0.001505,0.001505,0.001505
77,1645.42,0.79455,0.65977,1.14917,0.85353,0.8839,0.90899,0.65689,0.85225,0.62627,1.19782,0.0014984,0.0014984,0.0014984
78,1665.68,0.81582,0.6609,1.15856,0.89725,0.8503,0.90072,0.63876,0.87928,0.61242,1.24927,0.0014918,0.0014918,0.0014918
79,1684.95,0.82314,0.66209,1.15744,0.83384,0.90219,0.92022,0.65865,0.87748,0.61774,1.21129,0.0014852,0.0014852,0.0014852
80,1706.96,0.79715,0.65594,1.14568,0.87596,0.89888,0.93164,0.67041,0.85719,0.62643,1.22424,0.0014786,0.0014786,0.0014786
81,1728.91,0.78429,0.64891,1.14936,0.88798,0.89065,0.93034,0.67284,0.87909,0.58452,1.2134,0.001472,0.001472,0.001472
82,1750.94,0.79485,0.65865,1.14846,0.88975,0.87655,0.92613,0.69094,0.84787,0.56857,1.2192,0.0014654,0.0014654,0.0014654
83,1772.93,0.79398,0.64993,1.14609,0.8712,0.88015,0.91458,0.65849,0.88646,0.60862,1.22932,0.0014588,0.0014588,0.0014588
84,1791.65,0.79172,0.64631,1.13604,0.88959,0.89139,0.93116,0.67765,0.85786,0.5902,1.21352,0.0014522,0.0014522,0.0014522
85,1811.99,0.79269,0.6441,1.14598,0.85901,0.92135,0.92761,0.66927,0.88443,0.5884,1.20754,0.0014456,0.0014456,0.0014456
